name,DR2_desig,RA_J2000,DEC_J2000,D,e_D,Pmem,J,e_J,K,e_K,rprime,e_rprime,G,e_G,BP,RP,binary,Prot,SingleFlagD19,Gaia_desig_EDR3,Gaia_desig_DR2,tail?,G_EDR3,G_DR2,note
2MASS J08351605+1912077,Gaia DR2 662748569425476224,128.81689,19.202156,186.064,8.117,99.6,nan,nan,13.456,0.032,18.1477,0.0072,17.3736,0.0013,19.0846,16.1255,0,nan,nan,Gaia EDR3 662748569425476224,Gaia DR2 662748569425476224,0,17.36734,17.373617,nan
2MASS J08351695+1954534,Gaia DR2 662855810465648000,128.82064,19.914852,190.25,3.855,99.2,nan,nan,12.291,0.019,16.422,0.09,15.8005,0.001,17.1265,14.675,0,nan,nan,Gaia EDR3 662855810465648000,Gaia DR2 662855810465648000,0,15.816538,15.80049175,nan
2MASS J08351703+2058108,Gaia DR2 664678006173827328,128.820998,20.969681,208.126,16.684,96.8,nan,nan,14.289,0.053,19.568,0.0156,18.5692,0.0021,20.5139,17.2294,0,nan,nan,Gaia EDR3 664678006173827328,Gaia DR2 664678006173827328,0,18.56045,18.56919,nan
2MASS J08351705+1736244,Gaia DR2 659309232631451392,128.821052,17.606783,184.584,5.393,92.8,nan,nan,13.231,0.034,18.0878,0.007,17.1955,0.0013,18.9174,15.9164,0,nan,nan,Gaia EDR3 659309232631451392,Gaia DR2 659309232631451392,0,17.197693,17.195507,nan
2MASS J08351777+2033526,Gaia DR2 664591595728990336,128.824072,20.564629,182.763,2.955,100.0,nan,nan,7.761,0.018,8.42,0.001,8.356,0.0005,8.5088,8.1458,1,nan,nan,Gaia EDR3 664591595728990336,Gaia DR2 664591595728990336,0,8.373195,8.355953746,nan
2MASS J08351780+1938101,Gaia DR2 662841379375655936,128.824185,19.636162,189.188,1.902,99.7,nan,nan,10.012,0.019,11.594,0.012,11.6147,0.0005,12.0442,11.0849,0,8.999,YY-YY,Gaia EDR3 662841379375655936,Gaia DR2 662841379375655936,0,11.629958,11.61474663,nan
2MASS J08351934+1945412,Gaia DR2 662849209099669120,128.830604,19.761465,209.342,7.885,99.7,nan,nan,13.32,0.034,18.0533,0.0071,17.282,0.0014,18.8534,16.0257,0,nan,nan,Gaia EDR3 662849209099669120,Gaia DR2 662849209099669120,0,17.279615,17.282009,nan
2MASS J08351945+1935242,Gaia DR2 662794169095142912,128.831046,19.590069,192.057,2.184,100.0,nan,nan,4.997,0.02,nan,nan,6.3974,0.0002,6.7738,5.9163,0,nan,nan,Gaia EDR3 662794169095142912,Gaia DR2 662794169095142912,0,6.423226706,6.397445093,nan
2MASS J08352169+1829342,Gaia DR2 659612285523485056,128.840391,18.492846,189.85,2.81,99.1,nan,nan,12.272,0.024,16.395,0.09,15.8199,0.0014,17.1669,14.7083,0,nan,nan,Gaia EDR3 659612285523485056,Gaia DR2 659612285523485056,0,15.842389,15.81987353,nan
2MASS J08352430+1925443,Gaia DR2 662787468946178176,128.851259,19.428974,177.301,16.861,95.4,nan,nan,14.712,0.077,20.2043,0.0257,19.0549,0.0033,20.3868,17.6343,0,nan,nan,Gaia EDR3 662787468946178176,Gaia DR2 662787468946178176,0,19.04501116,19.054878,nan
2MASS J08352434+0436094,Gaia DR2 3092442290674492672,128.851436,4.602615,268.819,4.212,999.0,nan,nan,12.499,0.025,16.182,0.307,15.7392,0.0004,16.857,14.7297,0,nan,nan,Gaia EDR3 3092442290674492672,Gaia DR2 3092442290674492672,1,15.747804,15.73922543,nan
2MASS J08352683+2139018,Gaia DR2 665558165231918208,128.861806,21.650503,190.768,7.32,77.6,nan,nan,13.882,0.038,18.723,0.0095,17.8406,0.0012,19.695,16.5592,0,0.79,XXXXX,Gaia EDR3 665558165231918208,Gaia DR2 665558165231918208,0,17.84270716,17.840585,nan
2MASS J08352716+1848531,Gaia DR2 659726669092428160,128.863192,18.814774,202.515,6.726,999.0,nan,nan,12.776,0.025,17.4543,0.0061,16.7126,0.0012,18.4134,15.4671,0,nan,nan,Gaia EDR3 659726669092428160,Gaia DR2 659726669092428160,0,16.710072,16.712583,nan
2MASS J08352805+2011467,Gaia DR2 664376435047303168,128.866892,20.196316,196.22,5.106,99.8,nan,nan,8.92,0.019,10.152,0.02,10.1719,0.0004,10.4982,9.7389,2,nan,nan,Gaia EDR3 664376435047303168,Gaia DR2 664376435047303168,0,10.189076,10.17194691,nan
2MASS J08352906+1404498,Gaia DR2 651483454323649408,128.871119,14.080521,191.782,11.471,999.0,nan,nan,14.358,0.073,19.6738,0.0166,18.6733,0.0024,20.6057,17.3172,0,nan,nan,Gaia EDR3 651483454323649408,Gaia DR2 651483454323649408,0,18.66598916,18.673349,nan
2MASS J08353194+2101045,Gaia DR2 664678594586404224,128.883107,21.017921,198.301,21.952,80.2,nan,nan,14.605,0.073,20.0809,0.0226,18.9948,0.0028,20.632,17.6038,0,nan,nan,Gaia EDR3 664678594586404224,Gaia DR2 664678594586404224,0,18.981325,18.99484,nan
2MASS J08353387+1855474,Gaia DR2 659732132290823296,128.89114,18.929857,183.995,1.501,99.5,nan,nan,11.42,0.017,14.629,0.02,14.4945,0.0005,15.5047,13.5446,0,nan,nan,Gaia EDR3 659732132290823296,Gaia DR2 659732132290823296,0,14.503793,14.49452825,nan
2MASS J08353492+1207154,Gaia DR2 602557562006125696,128.895536,12.120946,216.159,9.213,999.0,nan,nan,13.821,0.038,18.4014,0.0088,17.6938,0.0016,19.4441,16.4434,0,nan,nan,Gaia EDR3 602557562006125696,Gaia DR2 602557562006125696,1,17.684137,17.693836,nan
2MASS J08353571+1859445,Gaia DR2 659739072957970176,128.898804,18.99571,191.283,1.847,99.1,nan,nan,11.591,0.02,14.83,0.02,14.6831,0.0005,15.7248,13.7141,0,nan,nan,Gaia EDR3 659739072957970176,Gaia DR2 659739072957970176,0,14.69426,14.68312679,nan
2MASS J08353613+1931583,Gaia DR2 662792790408901504,128.900575,19.532864,203.191,20.091,99.1,nan,nan,14.376,0.062,19.5177,0.0161,18.5331,0.0023,20.218,17.1658,0,nan,nan,Gaia EDR3 662792790408901504,Gaia DR2 662792790408901504,0,18.52096,18.53309,nan
2MASS J08353851+1821321,Gaia DR2 659563082378148224,128.910481,18.358934,356.424,16.494,-999.0,nan,nan,13.063,0.031,16.708,0.136,16.5129,0.0011,17.8595,15.3958,0,nan,nan,,,,,,
2MASS J08353928+2024099,Gaia DR2 664573793087543936,128.913669,20.402752,186.373,5.56,98.6,nan,nan,13.046,0.025,17.9471,0.0064,17.0737,0.0015,18.8955,15.8064,0,0.77,XXXXX,Gaia EDR3 664573793087543936,Gaia DR2 664573793087543936,0,17.075594,17.073745,nan
2MASS J08353967+1907364,Gaia DR2 662744210035689728,128.915326,19.126787,196.348,4.619,99.5,nan,nan,12.29,0.02,16.523,0.198,16.0296,0.0012,17.5398,14.8647,0,5.669,YYY-Y,Gaia EDR3 662744210035689728,Gaia DR2 662744210035689728,0,16.031834,16.029613,nan
2MASS J08354015+1842283,Gaia DR2 659713303154300288,128.917305,18.707878,184.226,3.735,99.4,nan,nan,12.358,0.02,17.121,0.09,16.1771,0.0017,17.7915,14.9756,0,1.976,YNN-Y,Gaia EDR3 659713303154300288,Gaia DR2 659713303154300288,0,16.188799,16.177085,nan
2MASS J08354343+1645215,Gaia DR2 658831872786248832,128.930974,16.75598,181.539,4.829,999.0,nan,nan,13.136,0.031,17.9235,0.0065,17.1105,0.0011,18.8659,15.862,0,13.786,nan,Gaia EDR3 658831872786248832,Gaia DR2 658831872786248832,0,17.108852,17.110452,nan
2MASS J08354461+1857382,Gaia DR2 659738179604773248,128.935891,18.960629,171.584,7.528,98.6,nan,nan,13.547,0.033,18.3197,0.0075,17.4822,0.0014,19.3248,16.2117,0,1.559,YNY-Y,Gaia EDR3 659738179604773248,Gaia DR2 659738179604773248,0,17.48563,17.482183,nan
2MASS J08354507+1946162,Gaia DR2 662849900590743936,128.937812,19.77117,191.43,3.072,100.0,nan,nan,7.117,0.021,7.531,0.001,7.4409,0.0004,7.5372,7.327,1,nan,nan,Gaia EDR3 662849900590743936,Gaia DR2 662849900590743936,0,7.46201823,7.440869416,nan
2MASS J08354516+1938262,Gaia DR2 662800456927247744,128.938176,19.640614,187.131,2.024,99.1,nan,nan,10.539,0.017,12.57,0.003,12.6137,0.0005,13.1842,11.9561,0,10.952,YYYNY,Gaia EDR3 662800456927247744,Gaia DR2 662800456927247744,0,12.623184,12.61368028,nan
2MASS J08354572+0912041,Gaia DR2 596689468447942656,128.940511,9.20116,243.524,2.135,999.0,nan,nan,11.209,0.021,13.345,0.063,13.4133,0.0003,14.04,12.7176,0,nan,nan,Gaia EDR3 596689468447942656,Gaia DR2 596689468447942656,1,13.424107,13.41327835,nan
2MASS J08354589+2230425,Gaia DR2 666045459338942208,128.941241,22.511829,170.082,2.877,73.3,nan,nan,12.949,0.024,17.2805,0.005,16.6711,0.0009,18.2058,15.4905,0,22.58,XXXXX,Gaia EDR3 666045459338942208,Gaia DR2 666045459338942208,0,16.676954,16.671066,nan
2MASS J08354678+1952153,Gaia DR2 664352761187716352,128.944927,19.870943,170.901,1.366,98.4,nan,nan,11.056,0.017,14.081,0.023,13.9743,0.0003,14.8924,13.0719,1,14.879,NYY-Y,Gaia EDR3 664352761187716352,Gaia DR2 664352761187716352,0,13.98608,13.97428337,nan
2MASS J08354722+1808300,Gaia DR2 659550884671134336,128.946776,18.14168,180.17,4.035,98.8,nan,nan,12.695,0.02,17.092,0.159,16.4978,0.0018,18.0886,15.3002,0,2.118,YY--Y,Gaia EDR3 659550884671134336,Gaia DR2 659550884671134336,0,16.525005,16.497835,nan
2MASS J08354730+1935227,Gaia DR2 662799009521584640,128.947121,19.589651,198.733,6.718,99.4,nan,nan,13.472,0.028,18.1625,0.0074,17.3752,0.0015,18.9689,16.1196,0,1.182,YYY-Y,Gaia EDR3 662799009521584640,Gaia DR2 662799009521584640,0,17.375166,17.37516,nan
